Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4,Unnamed: 11,Unnamed: 12,y_chain_1,y_chain_2,y_chain_3,pred_y_chain_1,pred_y_chain_2,pred_y_chain_3
24075,67730,,support.pt@aspiegel.com,appgallery probleme und vorschläge,beschreibung update sst sich nicht installieren kontaktinformationen description update cannot be installed contact information description update cannot be installed contact information description update cannot be installed contact information n,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Problem/Fault,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Can't update Apps,,Problem/Fault | AppGallery-Install/Upgrade,
24075,67762,,support.pt@aspiegel.com,appgallery probleme und vorschläge appgallery problems and suggestions,danke nach neuinstallation der app funktioniert alles einwandfrei mfg schrieb am do sehr geehrter kunde vielen dank dass sie mit aspiegel kontakt aufgenommen haben wir hoffen dass es ihnen gut geht um ihnen die beste sung anbieten zu nnen bitten wir sie ihre anfrage mit den folgenden informationen zu pr zisieren eine beschreibung des problems ein screenshot oder eine videoaufnahme des fehlers wann das problem aufgetreten ist ihre huawei id app gallery hms core ffnen und dann einen screenshot machen ihr handymodell sn nummer ihres ger ts version der app galerie huawei app galerie mich ber hms core version huawei app galerie hms kern ffnen einstellungen ber verwandte app version der verwandten app das protokoll der app galerie wenn sie weitere fragen haben antworten sie bitte auf diesen mail thread und wir werden ihnen gerne weiterhelfen mit freundlichen gr en aspiegel se uma empresa constitu da segundo as leis da com sede em dublin appgallery probleme und vorschl ge beschreibung update sst sich nicht installieren kontaktinformationen n,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Problem/Fault,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Can't update Apps,Suggestion,,Problem/Fault | AppGallery-Use | UI Abnormal in Huawei AppGallery
23748,66706,,support.pt@aspiegel.com,appgallery problems and suggestions,description contact information n,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Suggestion,Suggestion | AppGallery-Use,Suggestion | AppGallery-Use | Others,Problem/Fault,Suggestion | General,Suggestion | General | Others
23740,66684,,support.eu@aspiegel.com,,ho pagato ma applicazione non ha funzionato posso essere rimborsata grazie ho paid but the application did not work can be refunded,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault,Problem/Fault | Third Party APPs,Problem/Fault | Third Party APPs | Refund,,,Problem/Fault | AppGallery-Install/Upgrade | Other download/install/update issue
23683,66429,,support.eu@aspiegel.com,,product appgallery games requests using appgallery e manage service country contact full name in lavrador ramos phone numbe contact email address sum of the issue would like to know how can use voucher that won on app gallery since the store now was put together with other store and still have the voucher to use thanks in advance home news events products partners support copyright aspiegel se,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion,Suggestion | VIP / Offers / Promotions,Suggestion | VIP / Offers / Promotions | Offers / Vouchers / Promotions,,,
23683,67433,,support.eu@aspiegel.com,,so the campaign name was xmas download and win play pt as you will see in the screenshot will send you and won voucher to use it in online store called but now is part of other company store called and what my huawei d service country thanks in advance ter de set de escreveu we hope you re doing well this email is regarding your concern about worry will do my best to solve your problem as soon as possible in order to analyze your case in detail will need the following information from you error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely silvia product appgallery games requests using appgallery e manage service country contact full name in lavrador ramos phone numbe contact email address sum of the issue would like to know how can use voucher that won on app gallery since the store now was put together with other store and still have the voucher to use thanks in advance home news events products partners support copyright se,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion,Suggestion | VIP / Offers / Promotions,Suggestion | VIP / Offers / Promotions | Offers / Vouchers / Promotions,,,Problem/Fault | Coupon/Gifts/Points Issues | Cooperated campaign issue
23683,67516,,support.eu@aspiegel.com,,have to an account there also don speak german escreveu no dia quinta sehr geehrter kunde wir empfehlen ihnen uns ber den discord kanal https discord gg tkyzc cagu direkt von ihrem computer aus zu kontaktieren haben discord zu benutzen oder wenn sie es vorziehen dass wir den fall bearbeiten geben sie uns bitte folgende informationen r weitere untersuchungen ihr dienstland appgallery ich einstellungen land ihre discord kontaktinformationen falls zutreffend wenn sie weitere fragen haben antworten sie bitte auf diesen mail und wir helfen ihnen gerne bei ihren zweifeln weiter andrea so the campaign name was xmas download and win play pt as you will see in the screenshot will send you and won voucher to use it in online store called but now is part of other company store called and what my huawei d service country thanks in advance ter de set de escreveu we hope you re doing well this email is regarding your concern about worry will do my best to solve your problem as soon as possible in order to analyze your case in detail will need the following information from you error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely silvia,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion,Suggestion | VIP / Offers / Promotions,Suggestion | VIP / Offers / Promotions | Offers / Vouchers / Promotions,,,
23683,67915,,support.eu@aspiegel.com,,sure the country of my app gallery and my country is portugal can enter on discord sorry don understand it qui de set de escreveu this email is regarding your concern about voucher we recommend that you contact us through the discord channel https discord gg tkyzc cagu directly from your computer if you are having difficulty using discord or if you prefer us to handle the case please provide us with the following information for further investigation your country of service appgallery me settings country your discord contact information if applicable if you have any further questions please reply to this mail and we will be happy to help you with your doubts sincerely andrea i have to an account there also don speak german escreveu no dia quinta sehr geehrter kunde wir empfehlen ihnen uns ber den discord kanal https discord gg tkyzc cagu direkt von ihrem computer aus zu kontaktieren haben discord zu benutzen oder wenn sie es vorziehen dass wir den fall bearbeiten geben sie uns bitte folgende informationen r weitere untersuchungen ihr dienstland appgallery ich einstellungen land ihre discord kontaktinformationen falls zutreffend wenn sie weitere fragen haben antworten sie bitte auf diesen mail und wir helfen ihnen gerne bei ihren zweifeln weiter andrea,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion,Suggestion | VIP / Offers / Promotions,Suggestion | VIP / Offers / Promotions | Offers / Vouchers / Promotions,,Problem/Fault | Third Party APPs,
23624,66266,,support.pt@aspiegel.com,gamecentre problems and suggestions,description no moontoon contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't download Apps,,,Problem/Fault,Problem/Fault | AppGallery-Install/Upgrade,Problem/Fault | AppGallery-Install/Upgrade | Can't download Apps,,,
23555,65977,,support.pt@aspiegel.com,appgallery problemas e sugestões,descri n compreendo dns nunca estar funcionar ser que me podem ajudau informa es de contacto enviado do meu telem veldescription don understand why dns is never working can you help me contact information sent from my cell phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,General,Cannot connect - Server,,,Problem/Fault,Problem/Fault | General,Problem/Fault | General | Cannot connect - Server,,,
